GENERAL INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRUCTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKIN,,,,,,,,,,,,,,SERVICES,,,,,,,,,,,,,,,,,,,,,,,,SPACEPLAN,,,,,,,,AVAILABLE DOCUMENTS,,,,,,,,,,,
IDENTIFICATION,,,,,,,,,,,,DISASTER & RESPONSE,,,,,,,,,,,,,,,GENERAL PROPERTIES,,,,,,,,,,,,,,,,,,,,,,,,SITE CHECK DURING VISIT,,,,,,,,,Foundation,,,,,,,,,,,Walls and frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beams & floor,,,,,,,,,,,,,,,,,,,,,,Roof,,,,,,,,,,,,,,,,,,Cladding,,,,,Openings,,,,,,Insulation,,,SERVICES,,,,,,,,,,,,,,,,,,,,,,,,SPACEPLAN,,,,,,,,AVAILABLE DOCUMENTS,,,,,,,,,,,
Identification,Identification,Identification,Identification,Identification,Identification,Identification,Identification,Identification,Identification,Identification,Identification,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,Disaster & Response,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,General,Site,Site,Site,Site,Site,Site,Site,Site,Site,Foundation,Foundation,Foundation,Foundation,Foundation,Foundation,Foundation,Foundation,Foundation,Foundation,Foundation,Walls & Frame,Bearing walls,Bearing walls,Bearing walls,Bearing walls,Bearing walls,Bearing walls,Bearing walls,Bearing walls,Bearing walls,Framed walls,Framed walls,Framed walls,Framed walls,Framed walls,Framed walls,Framed walls,Framed walls,Framed walls,Pole-frame,Pole-frame,Pole-frame,Pole-frame,Pole-frame,Pole-frame,Posts & Beams,Posts & Beams,Posts & Beams,Posts & Beams,Posts & Beams,Posts & Beams,Posts & Beams,Walls & Frame,Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor (ground floor),Beams & Floor,Beams & Floor,Beams & Floor,Beams & Floor,Beams & Floor,Beams & Floor,Beams & Floor,Beams & Floor,Beams & Floor,Beams & Floor,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Roof,Cladding,Cladding,Cladding,Cladding,Cladding,Openings,Openings,Openings,Openings,Openings,Openings,Insulation,Insulation,Skin,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Services,Spaceplan,Spaceplan,Spaceplan,Spaceplan,Spaceplan,Spaceplan,Spaceplan,Spaceplan,Documents,Documents,Documents,Documents,Documents,Documents,Documents,Documents,Documents,Documents,Documents,Documents
ID,Name of shelter,Survey date,Zone,Country,Province / District / Region,City / Village,GPS Latitude,GPS Longitude,GPS Altitude,Climate zone,Landform,Associated disaster / Immediate cause,Main hazards in country,Type of Implementing Agency,Implementing Agency,Name of Project Manager,Name of Local Partner (NGO/Government),Name of Governmental Agency in charge of Disaster Management,Name of Governmental Agency in charge of Construction ,Total number of shelter built during project,Type of shelter,Type of work (construction),Type of settlement,Labour methods,Labour skills,Support provided,Year of construction (first completed shelters),Number of inhabitants of the shelter,Occupancy status (site),Occupancy status (shelter),Typology,Storeys,Number of rooms (not including kitchen & bathroom/toilet),Length (m),Width (m),Total interior area (m2),Covered area (m2),Wall height (m),Ridge height (m),Construction cost per unit (USD),Construction costs breakdown (USD) - local material,Construction costs breakdown (USD) - imported material,Construction costs breakdown (USD) - transport and warehousing,Construction costs breakdown (USD) - local labour,Construction costs breakdown (USD) - international staff,Construction costs breakdown (USD) - trainings,Construction costs breakdown (USD) - administrative costs,Construction costs breakdown (USD) - other,Construction labour (number of workers),Construction time (number of days per unit),Context,Topography,Location of the site,Soil type,Vegetation,Approximate plot area (m2),Site access,Accessibility for transport,Comment,Foundation type,Foundation Material,Depth of foundation (m),Section/ surface of footing (m x m),Width of wall base (m),Section of stilt/ pillar/ pile (m x m),Thickness of monolithic concrete slab (m),Distance between piles/ stilts/ isoled footing (m),Connection between foundation - walls,Connection material (foundation - walls),Comment,Superstructure type,Bearing walls material,Bearing walls - width (m),Bearing walls - bond beams & lintels,Section of horizontal bond beam (m x m),Section of lintel (m x m),Connection between Bearing walls and roof,Connection material (walls - roof),Stability measure - Bearing walls,Stability measure material,Framed walls material,Framed walls - section of corner post (m x m),Framed walls - section of stud (m x m),Framed walls - section of bottom wall plate/ sill plate (m x m),Framed walls - section of top wall plate (m x m),Connection between Framed walls and roof,Connection material (walls - roof),Stability measure - Framed walls,Stability measure material,Pole-frame - section of pole (m x m),Pole-frame- height of pole (m),Connection between pole-frame walls and roof,Connection material (walls - roof),Stability measure - pole-frame construction,Stability measure material,Posts & Beams - material,Posts & Beams - section of post (m x m),Posts & Beams - height of post (m),Connection between posts and beams framing walls and roof,Connection material (walls - roof),Stability measure - Posts & Beams,Stability measure material,Comment,Ground floor type,Ground floor material,Height of ground floor above ground level (m),Lenght of the beams/joists (m),Section of the beams/joists (m x m),Distance between beams/joists (m),Thickness of decking/ concrete slab/ compression slab (m),Floor components,Connection between walls and ground floor,Connection material (walls - ground floor),Stability measure - elevated ground floor,Stability measure material ,Floor type (second floor and others),Beams/ joists material,Lenght of the beams/joists (m),Section of the beams/joists (m x m),Distance between beams/joists (m),Connection between walls and floor (if more than one storey),Connection material (walls - floor),Thickness of decking/ concrete slab/ compression slab (m),Floor components,Comment,Roof shape,Roof pitch (°),Roof Structure,Roof structure Material,Distance between trusses/ gable end/ cross wall (m),Section of purlin (m x m),Distance between purlins (m),Section of rafter (m x m),Distance between rafters (m),Size of eaves (overhang) (m),Thickness of roof decking/ concrete slab (m),Section of batten/ lath (m x m),Distance between  battens/ laths (m),Connection between roof elements,Connection material (roof elements),Stability measure - roof,Stability measure material,Comment,Facade cladding material,Thickness of cladding material (mm),Roof covering material,Thickness of roof covering (mm or gauge),Floor Finish Material,Number of doors,Doors material,Number of windows,Windows material,Number of shutters,Shutters material,Insulation system,Insulation material,Comment,Water Supply location,Distance to the water supply,Water Supply Type,Sanitation location,Distance to the sanitation,Sanitation Type,Sewage system,Drainage,Waste treatment,Bathroom location,Distance to the bathroom,Type of Bathroom,Heating system,Energy Source for heating system,Cooling system,Energy Source for cooling system,Type of natural ventilation,Number of ventilation openings,Lighting,Energy Source (Appliances),Kitchen location,Kitchen Type,Cooking Energy Source,Comment,Partitions,Partition structure material,Partition finish,Ceiling structure material,Ceiling Finish Material,Possible extension of the shelter structure,Implemented extention to the shelter (at survey date),Comment,Project Narrative,Technical Description,(Priced) Bill of Quantity (BoQ),Design Drawings,Site plan,Satellite Picture,Pictures/video of setting,Pictures/video of elevations,Pictures/video of extensions,Pictures/video of details,Pictures/video of living practices,Comment
BD001,British Red Cross Sidr Shelter,40721,Asia & Pacific,Bangladesh,Patuakhali,Kuakata,21.8206388889,90.1164444444,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,British Red Cross,,BDRCS,,,,transitional,relocate,planned camp,contract labour,,,,2,occupancy with no legal status,owner-occupier,detached,1,1,3.1,6.4,19.84,,2.06,,,,,,,none,pile,concrete,none,none,,rural,timber,low-lying area,clay,shrub,,none,by foot,,on stilts/pillars/piles,concrete,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,reinforced concrete; timber,,,nails,steel,bracing,timber,,earth platform (elevated ground floor),none,,,,,,,,,,,,,,,,,,,,,gable,,truss,timber,,,,,,,,,,,,,,,metal sheeting,,metal sheeting,,none,1,,3,,,,,,,communal,,tubewel/borehole,on plot,,pit latrine with slab,single pit,none,,other,,"river, pond, lake",none,,none,,,0,oil/kerosene lamp,none,on plot,portable stove,wood,,none,none,none,none,none,,,,0,0,0,1,0,n,1,1,0,1,1,
BD002,Caritas Sidr Shelter,40721,Asia & Pacific,Bangladesh,Patuakhali,Mahipur,21.8576111111,90.1682777778,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,Caritas,,,,,,transitional,rebuild,self-settlement,contract labour,,,2010,4,landowner,owner-occupier,detached,1,1,5.486,3.048,16.721328,,2.14,,940,,,,,none,none,concrete,slab,none,4,rural,timber,low-lying area,clay,trees,,none,by foot,,none,concrete,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,reinforced concrete; timber,,,bolts and nuts,steel,none,none,,slab,none,,,,,,,,,,,,,,,,,,,,,hip,,beams,timber,,,,,,,,,,,,,,,bamboo,,metal sheeting,,none,1,,4,,,,,,,,,,on plot,,pit latrine with slab,single pit,none,,other,,"river, pond, lake",none,,none,,,0,oil/kerosene lamp,none,on plot,portable stove,wood,,none,none,none,none,none,,,,0,0,1,1,0,0,1,1,0,1,1,
BD003,Action Aid Sidr Shelter 2008,40721,Asia & Pacific,Bangladesh,Patuakhali,Char Chapla,21.8383333333,90.2090555556,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,Action Aid,,,,,,permanent,rebuild,self-settlement,contract labour,,,2008,4,landowner,owner-occupier,detached,1,1,,,0,,,,,,,,,none,perimeter,concrete,slab,concrete,,rural,bricks,low-lying area,clay,trees,,none,by foot,,strip footing,concrete,,,,,,,,,,Bearing walls,solid brick (fired clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slab,concrete,,,,,,,,,,,,,,,,,,,,,flat,,concrete slab,concrete,,,,,,,,,,,,,,,bricks,,concrete,,concrete,1,,3,,,,,,,communal,,tubewel/borehole,on plot,,pit latrine with slab,single pit,none,,on plot,,separate bathroom,none,,none,,,0,oil/kerosene lamp,none,in shelter,stove,wood,,none,none,none,none,none,,,,0,0,0,0,0,0,1,1,0,0,1,
BD004,Action Aid Sidr Shelter 2011,40721,Asia & Pacific,Bangladesh,Patuakhali,Char Chapla,21.8202222222,90.21925,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,Action Aid,,,,,,permanent,relocate,planned camp,contract labour,,,2011,0,occupancy with no legal status,owner-occupier,detached,1,1,,,0,,,,,,,,,none,perimeter,concrete,slab,concrete,,rural,,low-lying area,clay,shrub,,none,by foot,,strip footing,concrete,,,,,,,,,,Bearing walls,solid brick (fired clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slab,concrete,,,,,,,,,,,,,,,,,,,,,shed,,concrete slab,concrete,,,,,,,,,,,,,,,none,,concrete,,concrete,2,,4,,,,,,,,,,,,,,none,,,,,none,,none,,,0,oil/kerosene lamp,none,,,,,none,none,none,none,none,,,,0,0,0,0,0,0,1,1,0,1,1,
BD005,ACF Sidr Shelter,40722,Asia & Pacific,Bangladesh,Barguna,Sonatoli,22.0095277778,90.0009444444,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,Action contre la Faim,,,,,,transitional,rebuild,self-settlement,contract labour,,,2009,7,landowner,owner-occupier,detached,1,1,,,0,,,,,,,,,none,none,none,none,none,,rural,,low-lying area,clay,trees,,none,by foot,,none,none,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,timber,,,nails,steel,none,none,,earth platform (elevated ground floor),none,,,,,,,,,,,,,,,,,,,,,gable,,beams,timber,,,,,,,,,,,,,,,bamboo,,metal sheeting,,none,1,,0,,,,,,,,,,,,,,none,,,,,none,,none,,,0,oil/kerosene lamp,none,on plot,portable stove,wood,,none,none,none,none,none,,,,0,0,1,1,0,0,1,1,0,1,1,
BD006,IFRC\BDRCS Core Shelter Extended 1,40722,Asia & Pacific,Bangladesh,Barguna,Latabaria,22.1507222222,90.0663055556,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,IFRC,,BDRCS,,,,transitional,rebuild,self-settlement,contract labour,,,2009,5,landowner,owner-occupier,detached,1,4,7.32,2.29,16.7628,,2.14,,1412,,,,,none,pile,concrete,none,none,30,rural,,low-lying area,clay,trees,,none,by foot,,on stilts/pillars/piles,concrete,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,reinforced concrete,,,bolts and nuts,steel,none,none,,earth platform (elevated ground floor),none,,,,,,,,,,,,,,,,,,,,,hip,,truss,steel,,,,,,,,,,,,,,,metal sheeting,,metal sheeting,,none,1,,3,,,,,,,,,,,,,,none,,,,,none,,none,,,0,oil/kerosene lamp,none,in shelter,portable stove,wood,,walls,concrete,bamboo,timber,none,,,,0,0,1,1,0,0,1,1,0,1,1,
BD007,Indian Government Core Shelter,40724,Asia & Pacific,Bangladesh,Bagerhat,Bhaijora,22.4353333333,89.8669722222,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by government,"High Commission of India, Dhaka",,India Aid,,,,transitional,rebuild,self-settlement,contract labour,,,2011,8,landowner,owner-occupier,detached,1,2,6.1,3.04,18.544,,2.38,,1700,,,,,none,pile,concrete,none,none,12,rural,,low-lying area,clay,trees,,none,by foot,,on stilts/pillars/piles,concrete,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,timber,,,bolts and nuts,steel,bracing,timber,,earth platform (elevated ground floor),none,,,,,,,,,,,,,,,,,,,,,hip,,beams,timber,,,,,,,,,,,,,,,metal sheeting,,metal sheeting,,none,2,,2,,,,,,,,,,on plot,,pit latrine with slab,single pit,none,,on plot,,"river, pond, lake",none,,none,,,0,oil/kerosene lamp,none,on plot,portable stove,wood,,half walls,timber,none,none,none,,,,0,0,0,1,0,0,1,1,0,1,1,
BD008,Unknown Sidr Shelter,40724,Asia & Pacific,Bangladesh,Bagerhat,Gabtola,22.4284722222,89.8727222222,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,Unknown,,,,,,transitional,rebuild,self-settlement,contract labour,,,2011,3,landowner,owner-occupier,detached,1,1,4.14,4.94,20.4516,,2.38,,670,,,,,none,pile,concrete,none,none,,rural,timber,low-lying area,clay,trees,,none,by foot,,on stilts/pillars/piles,concrete,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,reinforced concrete; timber,,,bolts and nuts,steel,bracing,timber,,earth platform (elevated ground floor),none,,,,,,,,,,,,,,,,,,,,,gable,,beams,timber,,,,,,,,,,,,,,,bamboo,,metal sheeting,,none,2,,3,,,,,,,,,,,,,,none,,,,,none,,none,,,0,oil/kerosene lamp,none,on plot,portable stove,wood,,none,none,none,none,none,,,,0,0,0,0,0,0,1,1,0,1,1,
BD009,IFRC\BDRCS Core Shelter Extended 2,40724,Asia & Pacific,Bangladesh,Bagerhat,Gabtola,22.4271388889,89.8723611111,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,IFRC,,BDRCS,,,,transitional,rebuild,self-settlement,contract labour,,,2009,6,landowner,owner-occupier,detached,1,4,8.95,8.33,74.5535,,2.86,,2084,,,,,none,pile,concrete,none,none,45,rural,timber,low-lying area,clay,trees,,none,by foot,,on stilts/pillars/piles,concrete,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,reinforced concrete; timber,,,bolts and nuts,steel,none,none,,earth platform (elevated ground floor),none,,,,,,,,,,,,,,,,,,,,,hip,,truss,steel,,,,,,,,,,,,,,,,,metal sheeting,,none,2,,7,,,,,,,,,,on plot,,pit latrine with slab,,none,,,,,none,,none,,,0,oil/kerosene lamp,none,in shelter,portable stove,wood,,walls,timber,bamboo,none,none,,,,0,0,1,1,0,0,1,1,0,1,1,
BD010,Islamic Relief Sidr Shelter,40725,Asia & Pacific,Bangladesh,Bagerhat,Baniakhali,22.3701111111,89.8247222222,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,Islamic Relief,,,,,,transitional,rebuild,self-settlement,contract labour,,,2008,4,landowner,owner-occupier,detached,1,1,4.1,3.3,13.53,,2.71,,1000,,,,,none,pile,concrete,none,none,50,rural,timber,low-lying area,clay,trees,41,none,by foot,,on stilts/pillars/piles,concrete,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,reinforced concrete; timber,,,bolts and nuts,steel,none,none,,earth platform (elevated ground floor),none,,,,,,,,,,,,,,,,,,,,,hip,,beams,timber,,,,,,,,,,,,,,,bamboo,,metal sheeting,,none,1,,2,,,,,,,,,,,,,,none,,,,,none,,none,,,0,oil/kerosene lamp,none,on plot,portable stove,wood,,none,none,none,none,none,,,,0,0,1,1,0,0,1,1,0,1,1,
BD011,Friendship – Cordaid Sidr Shelter,40725,Asia & Pacific,Bangladesh,Bagerhat,Sarankhola,22.335,89.8329444444,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,Friendship,,,,,,transitional,rebuild,self-settlement,contract labour,,,2008,5,landowner,owner-occupier,detached,1,3,5.77,7.48,43.1596,,1.54,,1100,,,,,none,pile,concrete,none,none,10,rural,timber,low-lying area,clay,trees,82,none,by foot,,on stilts/pillars/piles,concrete,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,reinforced concrete; timber,,,bolts and nuts,steel,none,none,,earth platform (elevated ground floor),none,,,,,,,,,,,,,,,,,,,,,hip,,beams,timber,,,,,,,,,,,,,,,metal sheeting,,metal sheeting,,none,2,,6,,,,,,,,,,,,,,none,,,,,none,,none,,,0,oil/kerosene lamp,none,on plot,portable stove,wood,,walls,timber,other,none,none,,,,0,0,1,1,0,0,1,1,0,1,1,
BD012,Muslim Aid Shelter,40725,Asia & Pacific,Bangladesh,Bagerhat,Sarankhola,22.3053888889,89.8464166667,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,Muslim Aid,,,,,,permanent,rebuild,self-settlement,community labour,,cash,2008,6,landowner,owner-occupier,detached,1,2,5.75,5.7,32.775,,2.45,,3085,,,,,none,perimeter,bricks,slab,none,90,rural,,low-lying area,clay,trees,41,none,by foot,,strip footing,solid brick (fired clay),,,,,,,,,,Bearing walls,solid brick (fired clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slab,none,,,,,,,,,,,,,,,,,,,,,hip,,beams,timber,,,,,,,,,,,,,,,cement plaster,,metal sheeting,,none,2,,4,,,,,,,,,,,,,,none,,,,,none,,none,,,0,oil/kerosene lamp,none,on plot,portable stove,wood,,walls,bricks,cement plaster,timber,none,,,,0,0,1,1,0,0,1,1,0,1,1,
BD013,Care Sidr Shelter,40725,Asia & Pacific,Bangladesh,Bagerhat,Sarankhola,22.3073611111,89.84875,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,Care,,,,,,transitional,rebuild,self-settlement,contract labour,,,2008,4,landowner,owner-occupier,detached,1,1,5.64,4.6,25.944,,2.45,,1500,,,,,none,pile,concrete,none,none,,rural,timber,low-lying area,clay,trees,41,none,by foot,,on stilts/pillars/piles,concrete,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,reinforced concrete; timber,,,bolts and nuts,steel,none,none,,earth platform (elevated ground floor),none,,,,,,,,,,,,,,,,,,,,,gable,,truss,steel,,,,,,,,,,,,,,,bamboo,,metal sheeting,,none,1,,4,,,,,,,on plot,,rainwater collection,,,,,none,,,,,none,,none,,,0,oil/kerosene lamp,none,in shelter,portable stove,wood,,none,none,none,none,none,,,,0,0,0,1,0,0,1,1,0,1,1,
BD014,BDRCS Core Shelter,40725,Asia & Pacific,Bangladesh,Bagerhat,Baraikhali,22.4676111111,89.8578333333,,moist tropical,river delta,storm/cyclone,storm/cyclone; flood; drought,by NGO/agency,BDRCS,,,,,,transitional,rebuild,self-settlement,contract labour,,,2008,4,landowner,owner-occupier,detached,1,3,5.38,5,26.9,,2.1,,870,,,,,none,pile,concrete,none,none,10,rural,timber,low-lying area,clay,trees,62,none,by foot,,on stilts/pillars/piles,concrete,,,,,,,,,,Posts & Beams,,,,,,,,,,,,,,,,,,,,,,,,,reinforced concrete; timber,,,bolts and nuts,steel,bracing,steel,,earth platform (elevated ground floor),none,,,,,,,,,,,,,,,,,,,,,hip,,truss,steel,,,,,,,,,,,,,,,bamboo,,metal sheeting,,none,1,,2,,,,,,,,,,,,,,none,,,,,none,,none,,,0,oil/kerosene lamp,none,in shelter,portable stove,wood,,walls,timber,bamboo,none,none,,,,0,0,0,1,0,0,1,1,0,1,1,
