id,original,translated,language_code
1,ENGLISH,FRENCH,fr
2,Identification,Identification,fr
3,ID,ID,fr
4,Name of shelter,Nom de l'abri,fr
5,Survey date,Date de l'enquête,fr
6,Zone,Zone Mouvement CRCR,fr
7,Africa,Afrique,fr
8,Americas & Caribbean,Amérique & Caraïbes,fr
9,Asia Pacific,Asie Pacifique,fr
10,Europe,Europe,fr
11,Middle East & North Africa,Moyen Orient & Afrique du Nord,fr
12,Country,Pays,fr
13,Province / District / Region,Province / District / Région,fr
14,City / Village,Ville / Village,fr
15,GPS Latitude,GPS Latitude,fr
16,GPS Longitude,GPS Longitude,fr
17,GPS Altitude,GPS Altitude,fr
18,Climate zone,Climat,fr
19,dry polar,polaire (froid sec),fr
20,dry moderate,continental (tempéré sec),fr
21,dry tropical,tropical sec (aride),fr
22,moist polar,subarctique (froid humide),fr
23,moist moderate,océanique (tempéré humide),fr
24,moist tropical,tropical humide,fr
25,Landform,Relief,fr
26,mountains,montagne,fr
27,plateaus,plateau,fr
28,hills,colline,fr
29,valley,vallée,fr
30,plain,plaine,fr
31,river delta,delta (rivière),fr
32,desert,dune,fr
33,Disaster & Response,Catastrophe et secours,fr
34,Associated disaster / Immediate cause,Catastrophe / cause immédiate,fr
35,earthquake,séisme,fr
36,flood,inondations,fr
37,storm/cyclone,tempête/cyclone,fr
38,volcanic eruption,éruption volcanique,fr
39,fire,feu,fr
40,rockfall/landslide,chute de pierres/ glissement de terrain,fr
41,tsunami,tsunami,fr
42,drought/famine,sécheresse/famine,fr
43,epidemic,épidémie,fr
44,conflict related,conflit,fr
45,other,autre,fr
46,Main hazards in country,Principaux aléas dans le pays,fr
47,earthquake,séisme,fr
48,flood,inondations,fr
49,storm/cyclone,tempête/cyclone,fr
50,volcanic eruption,éruption volcanique,fr
51,fire,feu,fr
52,rockfall/landslide,chute de pierres/ glissement de terrain,fr
53,tsunami,tsunami,fr
54,drought,sécheresse,fr
55,Type of Implementing Agency,Type d'organismes d'exécution,fr
56,by private sector,secteur privé,fr
57,by government,Gouvernement,fr
58,by NGO/agency,ONG/organisme,fr
59,self-built,auto-construction,fr
60,Implementing Agency,Organisme d'exécution (Gouvernemental),fr
61,Name of Project Manager,Nom du Directeur de Projet (optionnel),fr
62,Name of local partner (NGO/Government),Nom du partenaire local  (ONG/Gouvernement),fr
63,Name of Governmental Agency in charge of Disaster Management,Nom de l'Agence Gouvernementale en charge de la Gestion des Catastrophes,fr
64,Name of Governmental Agency in charge of Construction,Nom de l'Agence Gouvernementale en charge de la Construction,fr
65,Type of shelter,Type d'abri/logement,fr
66,emergency shelter,logement d'urgence,fr
67,transitional shelter,logement transitoire/de transition,fr
68,core shelter,unité de logement de base,fr
69,permanent shelter,logement permanent,fr
70,Total number of shelter built during project,Nombre total d'abris construits (pendant le projet),fr
71,Type of work (construction),Type de travaux (construction),fr
72,retrofit,rénovation/réhabilitation,fr
73,repair,réparation,fr
74,rebuilding,reconstruction,fr
75,relocation,délocalisation,fr
76,Type of settlement,Type d'établissements humains,fr
77,in a planned camp,camp planifié,fr
78,self-settlement with relocation,camp spontané avec délocalisation,fr
79,self-settlement in-situ,camp spontané sur place,fr
80,in a collective centre,centre d'accueil collectif,fr
81,host family,famille d'accueil,fr
82,in a planned site,site planifié,fr
83,Labour methods,Type de main d'œuvre,fr
84,direct (beneficiary) labour,main d'œuvre directe (bénéficiaire),fr
85,community labour,main d'œuvre communautaire,fr
86,contract labour,main d'œuvre contractuelle (sous contrat),fr
87,Labour skills,Qualification de la main d'œuvre,fr
88,skilled labour,main d'œuvre qualifiée,fr
89,unskilled labour,main d'œuvre non qualifiée,fr
90,Support provided,Soutien complémentaire fourni,fr
91,none,aucun,fr
92,technical training,formation technique,fr
93,technical support,soutien technique,fr
94,shelter construction items,matériaux de construction,fr
95,cash,versement d'espèces,fr
96,vouchers,remise de bons d'achat,fr
97,livelihood support,soutien aux moyens de subsistance,fr
98,environmental & resource management,gestion de l'environnement et des ressources,fr
99,local information centres,centre d'information local,fr
100,insurances,assurances,fr
101,loans & guarantees,prêts et garanties,fr
102,"advocacy, legal & administrative",interventions sur le marché,fr
103,market interventions,échanges de produits,fr
104,return & transit items,"plaidoyer, aide juridique et administrative",fr
105,infrastructure & settlement planning,planification des établissements humains et infrastructures,fr
106,other,autre,fr
107,General,Propriétés générales,fr
108,Year of construction (first completed shelters),Année de construction,fr
214,mortar,mortier,fr
109,Number of inhabitants of the shelter,Nombre d'habitants par abri,fr
110,Occupancy status (site),Statut d'occupation (terrain),fr
111,occupied with no legal status,terrain occupé sans statut légal,fr
112,land tenant,locataire du terrain,fr
113,owner of the land,propriétaire du terrain,fr
114,family land,terrain appartient à la famille,fr
115,Occupancy status (shelter),Statut d'occupation (logement),fr
116,not occupied,logement non-occupé,fr
117,occupied with no legal status,occupé sans statut légal,fr
118,house tenant,locataire du logement,fr
119,owner-occupier,propriétaire-occupant,fr
120,Typology,Typologie,fr
121,detached,logement individuel,fr
122,semi-detached,logement jumélé,fr
123,row unit,logement en rangée,fr
124,apartment,appartement,fr
125,Storeys,Nombre d'étage,fr
126,Number of rooms (not including kitchen & bathroom/toilet),Nombre de pièces (cuisine et salle de bain/toilettes exclus),fr
127,Length (m),Longueur (m),fr
128,Width (m),Largeur (m),fr
129,Total interior area (m2),Surface habitable (m2),fr
130,Covered area (m2),Surface couverte (m2),fr
131,Wall height (m),Hauteur des murs (m),fr
132,Ridge height (m),Hauteur au faitage (m),fr
133,Construction cost per unit (USD),Coût de la construction par logement (USD),fr
134,Construction costs breakdown (USD) - local material,Coût de la construction / répartition (USD) - matériaux locaux,fr
135,Construction costs breakdown (USD) - imported material,Coût de la construction / répartition (USD) - matériaux importés,fr
136,Construction costs breakdown (USD) - transport and warehousing,Coût de la construction / répartition (USD) - transport,fr
137,Construction costs breakdown (USD) - local labour,Coût de la construction / répartition (USD) - main d'œuvre locale,fr
138,Construction costs breakdown (USD) - international staff,Coût de la construction / répartition (USD) - main d'œuvre expatriée (délégués),fr
139,Construction costs breakdown (USD) - trainings,Coût de la construction / répartition (USD) - réunions et formations,fr
140,Construction costs breakdown (USD) - administrative costs,Coût de la construction / répartitionn (USD) - coûts administratifs,fr
141,Construction costs breakdown (USD) - other,Coût de la construction / répartition (USD) - autre,fr
142,Construction labour (number of workers),Quantité de main d'œuvre (nombre d'ouvriers),fr
143,Construction time (number of days per unit),Durée de la construction (nombre de jours),fr
144,Comment,Commentaire,fr
145,Site,Terrain,fr
146,Context,Environnement,fr
147,urban,urbain,fr
148,peri-urban,péri-urbain,fr
149,slum,bidonville,fr
150,semi-rural,semi-rural,fr
151,rural,rural,fr
152,Topography,Topographie,fr
153,flat/level (<2%),plat (<2%),fr
154,gentle slope (2-10%),pente faible (2-10%),fr
155,moderate slope (10-15%),pente modérée (10-15%),fr
156,strong slope (15-30%),pente forte (15-30%),fr
157,"very strong slope (30-45%), extreme slope (45-70%), steep slope (70-100%)","pente très forte (30-45%), pente raide (45-70%), pente abrupte  (70-100%)",fr
158,very steep slope (>100%),pente très abrupte (>100%),fr
159,Location of the site,Situation du terrain,fr
160,exposed crest/edge of a cliff,au sommet d'une colline/montagne/bord d'une falaise,fr
161,coastal area,en bord de mer,fr
162,low-lying area,en zone de terres basses,fr
163,in terrace,en terrasse,fr
164,undulating,terrain vallonné,fr
165,base of a slope,au pied d'une colline/montagne,fr
166,close to a river/pond/lake,près d'une rivière/étang/lac,fr
167,on water,sur l'eau,fr
168,other,autre,fr
169,Soil type,Type de sol,fr
170,rock,rocher,fr
171,stone/gravel,rocailleux,fr
172,sand,sableux,fr
173,clay,argileux,fr
174,wetland/water,marécageux,fr
175,Vegetation,Végétation,fr
176,trees,arbres,fr
177,shrub,arbustes,fr
178,bush,buissons,fr
179,grass,herbes,fr
180,none,aucune,fr
181,Approximate plot area (m2),Surface du terrain/lot (m2),fr
182,Site access,Type d'accès au terrain,fr
183,none,aucun,fr
184,gravel,gravier/graves,fr
185,(permeable) pavement,chaussée perméable,fr
186,asphalt,asphalte,fr
187,concrete,béton,fr
188,Accessibility for transport,Accessibilité aux transports,fr
189,by truck,par camion,fr
190,by car,par voiture,fr
191,by 4x4,par 4x4,fr
192,by animal,à dos d'animal,fr
193,by foot,à pied,fr
194,by boat/raft,par bateau/radeau,fr
195,other,autre,fr
196,Foundation,Fondation,fr
197,Foundation type,Type de fondation,fr
198,strip footing,semelle filante,fr
199,isolated footing (pad/ bucket),semelle isolée,fr
200,monolithic slab,dalle avec semelle filante intégrée,fr
201,on stilts/pillars/piles,pilotis/pieu/pile,fr
202,helical piles/ screw piles,pieu hélicoïdal,fr
203,earth anchor/ mechanical soil anchor,ancre enfoncée par percussion,fr
204,spiral ground anchor,ancrage en spirale,fr
205,pegs,piquet,fr
206,ballast,lest,fr
207,anchor block,massif d'ancrage,fr
208,none,aucun,fr
209,Foundation material,Fondations (matériaux),fr
210,reinforced concrete,béton armé,fr
211,reinforcing bars,armatures,fr
212,welded-wire mesh,treillis soudé,fr
213,concrete,béton,fr
215,timber,bois (débité),fr
216,wood,bois (non débité),fr
217,bamboo,bambou,fr
218,steel,acier,fr
219,galvanized steel,acier galvanisé,fr
220,granular fill,hérisson,fr
221,stone,pierres,fr
222,backfill,remblais,fr
223,rubble (masonry),moellon lité (maçonnerie),fr
224,squared rubble,moellon équarri,fr
225,concrete block(solid),bloc plein (en béton),fr
226,hollow concrete block,bloc creux (en béton),fr
227,solid brick (fired clay),brique pleine (cuite),fr
228,adobe/sun-dried brick,brique de terre crue (adobe),fr
229,salvage material,matériaux de récupération,fr
230,rocks masonry,autre,fr
231,Depth of foundation (m),Profondeur des fondations (m),fr
232,Section/ surface of footing (m x m),Section/ surface de la semelle (m x m),fr
233,Width of wall base (m),Largeur du soubassement (m),fr
234,Section of stilt/ pillar/ pile (m x m),Section des pilotis/ piliers / piles (m x m),fr
235,Thickness of monolithic concrete slab (m),Epaisseur de la dalle en béton (m),fr
236,Distance between piles/ stilts/ isoled footing (m),Distance entre les pilotis/ piles / semelles isolées (m),fr
237,Connection between foundation - walls,Connection entre fondations et murs,fr
238,none,aucune,fr
239,nails,clous,fr
240,screws,vis,fr
241,lag screws/lag bolts,tirefonds,fr
242,bolts and nuts,boulons et écrous,fr
243,anchor bolts & washers,tiges d'ancrage et rondelles,fr
244,anchor plates/ post anchors/bases,platiness,fr
245,straps,connecteurs métalliques,fr
246,reinforcing bars,armatures,fr
247,wire,fil de fer,fr
248,lashings,liens,fr
249,dowels/ pins,chevilles/goujons,fr
250,other,autre,fr
251,Connection material (foundation - walls),Connection entre fondations et murs (matériaux),fr
252,none,aucun,fr
253,cement,ciment,fr
254,steel,acier,fr
255,galvanized steel,acier galvanisé,fr
256,stainless steel,acier inoxydable,fr
257,timber,bois (débité),fr
258,wood,bois (non débité),fr
259,bamboo,bambou,fr
260,polymer,polymère,fr
261,organic,matériaux organiques,fr
262,concrete,béton,fr
263,other,autre,fr
264,Comment,Commentaire,fr
265,Walls & Frame,Mur & Structure,fr
266,Superstructure type,Type de superstructure,fr
267,bearing walls,maçonnerie porteuse,fr
268,framed walls,ossature bois,fr
269,pole-frame construction,ossature poteaux longs,fr
270,posts & beams framing,ossature poteaux-poutres,fr
271,other,autre,fr
272,Comment,Commentaire,fr
273,Bearings walls,Maçonnerie,fr
274,Bearing walls material,Maçonnerie porteuse (matériaux),fr
275,concrete block (solid),bloc plein (en béton),fr
276,hollow concrete block,bloc creux (en béton),fr
277,solid brick (fired clay),brique pleine (cuite),fr
278,perforated brick (fired clay),brique perforée (cuite),fr
279,hollow brick (fired clay),brique creuse (cuite),fr
280,adobe/ sun-dried brick,adobe/brique de terre crue séchée,fr
281,rubble (masonry),moellon lité,fr
282,squared rubble,moellon assisé,fr
283,other,autre,fr
284,Bearing walls - width (m),Maçonnerie porteuse - largeur (m),fr
285,Bearing walls - bond beams & lintels,Maçonnerie porteuse - chaînages et linteaux,fr
286,none,aucun,fr
287,bond beam/ ring beam,chaînage horizontal,fr
288,vertical wall reinforcement,chaînage vertical,fr
289,lintel (above doors),linteau (au-dessus des portes),fr
290,lintel (above windows),linteau (au-dessus des fenêtres),fr
291,rake beam (top of gable end),chaînage incliné (sur rampants de pignons),fr
292,Section of horizontal bond beam (m x m),Section des chaînages horizontaux (m x m),fr
293,Section of lintel (m x m),Section des linteaux (m x m),fr
294,Connection between bearing walls and roof,Connection entre Maçonnerie porteuse et toit,fr
295,none,aucune,fr
296,nails,clous,fr
297,screws,vis,fr
298,lag screws/bolts,tirefonds,fr
299,bolts and nuts,boulons et écrous,fr
300,anchor bolts and washers,tiges d'ancrage et rondelles,fr
301,anchor plates,platines,fr
302,hurricane straps/ ties/ clips,connecteurs métalliques,fr
303,wire,fil de fer,fr
304,reinforcing bars,armatures,fr
305,other,autre,fr
306,Connection material (walls - roof),Connection entre Maçonnerie porteuse et toit (matériaux),fr
307,none,aucune,fr
308,concrete,béton,fr
309,steel,acier,fr
310,galvanized steel,acier galvanisé,fr
311,stainless steel,acier inoxydable,fr
312,timber,bois,fr
313,polymer,polymère,fr
314,organic,matériau organique,fr
315,other,autre,fr
316,Stability measure - bearing walls,Mesures de stabilité - Maçonnerie porteuse,fr
317,none,aucune,fr
318,bond beam/ring beam at plinth level,chaînage horizontal en pied de mur,fr
319,bond beam/ring beam at lintel level,chaînage horizontal au niveau des linteaux,fr
320,bond beam/ring beam at roof level,chaînage horizontal en tête de mur,fr
321,vertical wall reinforcement in corners,chaînage vertical dans les angles,fr
322,vertical wall reinforcement in at each wall intersection,chaînage vertical à chaque intersection de murs,fr
441,other,autre,fr
323,rake beam,chaînage incliné (sur rampants de pignons),fr
324,tie-bar/ tie rod and tie plate,tirant,fr
325,vertical wall,contrefort,fr
326,other,autre,fr
327,Stability measure material,Mesures de stabilité (matériaux),fr
328,none,aucun,fr
329,reinforced concrete,béton armé,fr
330,steel,acier,fr
331,other,autre,fr
332,Framed walls,Ossature bois,fr
333,Framed walls material,Ossature bois (matériaux),fr
334,steel,acier,fr
335,galvanized steel,acier galvanisé,fr
336,timber,bois (débité),fr
337,wood,bois (non débité),fr
338,bamboo,bambou,fr
339,mixed,ossature mixte,fr
340,other,autre,fr
341,Framed walls - section of corner post (m x m),Ossature bois - section des poteaux d'angle (m x m),fr
342,Framed walls - section of stud (m x m),Ossature bois - section des montants (m x m),fr
343,Framed walls - section of bottom wall plate/ sill plate (m x m),Ossature bois - section de la lisse basse (m x m),fr
344,Framed walls - section of top wall plate (m x m),Ossature bois - section de la lisse haute/sablière (m x m),fr
345,Connection between framed walls and roof,Connection entre Ossature bois et toit,fr
346,none,aucune,fr
347,nails,clous,fr
348,screws,vis,fr
349,lag screws/bolts,tirefonds,fr
350,bolts and nuts,boulons et écrous,fr
351,anchor bolts and washers,tiges d'ancrage et rondelles,fr
352,hurricane straps/ ties/ clips,connecteurs métalliques,fr
353,wire,fil de fer,fr
354,lashings,liens,fr
355,dowels/ pins,cheville/goujon,fr
356,other,autre,fr
357,Connection material (walls - roof),Connection entre Ossature bois et toit (matériaux),fr
358,none,aucun,fr
359,steel,acier,fr
360,galvanized steel,acier galvanisé,fr
361,stainless steel,acier inoxydable,fr
362,timber,bois,fr
363,polymer,polymère,fr
364,organic,matériau organique,fr
365,other,autre,fr
366,Stability measure - framed walls,Mesures de stabilité - Ossature bois,fr
367,none,aucune,fr
368,corner brace,écharpe,fr
369,K brace,palée en K,fr
370,angle brace,gousset/aisselier,fr
371,sheathing (load bearing shell),contreventement par plaque (coque porteuse),fr
372,studs located every 60 cm (2 ft) or less,montants placés tous les 60 cm (2 pieds),fr
373,cross brace,palée en croix de St André,fr
374,other,autre,fr
375,Stability measure material,Mesures de stabilité (matériaux),fr
376,none,aucune,fr
377,timber,bois (débité),fr
378,wood,bois (non débité),fr
379,bamboo,bambou,fr
380,plywood,contreplaqué,fr
381,wire,fil de fer,fr
382,metal cable,cable métallique,fr
383,rope,corde,fr
384,other,autre,fr
385,Pole-frame,Ossature poteaux longs,fr
386,Pole-frame - material,Ossature poteaux longs - (matériaux),fr
387,timber,bois (débité),fr
388,wood,bois (non débité),fr
389,coconut tree,cocotier,fr
390,bamboo,bambou,fr
391,other,autre,fr
392,Pole-frame - section of pole (m x m),Ossature poteaux longs - section des poteaux (m x m),fr
393,Pole-frame- height of pole (m),Ossature poteaux longs - hauteur des poteaux (m),fr
394,Connection between pole-frame walls and roof,Connection entre Ossature poteaux longs et toit,fr
395,none,aucune,fr
396,nails,clous,fr
397,screws,vis,fr
398,lag screws/bolts,tirefonds,fr
399,bolts and nuts,boulons et écrous,fr
400,anchor bolts and washers,tiges d'ancrage et rondelles,fr
401,hurricane straps/ ties/ clips,connecteurs métalliques,fr
402,wire,fil de fer,fr
403,lashings,liens,fr
404,dowels/ pins,chevilles/goujons,fr
405,other,autre,fr
406,Connection material (walls - roof),Connection entre Ossature poteaux longs et toit (matériaux),fr
407,none,aucune,fr
408,steel,acier,fr
409,galvanized steel,acier galvanisé,fr
410,stainless steel,acier inoxydable,fr
411,timber,bois (débité),fr
412,polymer,polymère,fr
413,organic,matériau organique,fr
414,other,autre,fr
415,Stability measure - pole-frame construction,Mesures de stabilité - Ossature poteaux longs,fr
416,none,aucune,fr
417,cross brace,palée en croix de St André,fr
418,V brace,palée en V,fr
419,angle brace,gousset/aisselier,fr
420,gusset plates,gousset (plaque),fr
421,other,autre,fr
422,Stability measure material,Mesures de stabilité (matériaux),fr
423,none,aucune,fr
424,timber,bois (débité),fr
425,wood,bois (non débité),fr
426,bamboo,bambou,fr
427,plywood,contreplaqué,fr
428,wire,fil de fer,fr
429,metal cable,cable métallique,fr
430,rope,corde,fr
431,other,autre,fr
432,Posts & Beams,Ossature poteaux & poutres,fr
433,Posts & beams framing - material,Ossature Poteaux-poutres - (matériaux),fr
434,reinforced concrete,béton armé,fr
435,steel,acier,fr
436,galvanized steel,acier galvanisé,fr
437,timber,bois (débité),fr
438,wood,bois (non débité),fr
439,coconut tree,cocotier,fr
440,bamboo,bambou,fr
442,Posts & beams framing - section of post (m x m),Ossature Poteaux-poutres - section des poteaux (m x m),fr
443,Posts & beams framing - height of post (m),Ossature Poteaux-poutres - hauteur des poteaux (m),fr
444,Connection between posts and beams framing walls and roof,Connection entre Ossature Poteaux-poutres et toit,fr
445,none,aucune,fr
446,nails,clous,fr
447,screws,vis,fr
448,lag screws/bolts,tirefonds,fr
449,bolts and nuts,boulons et écrous,fr
450,anchor bolts and washers,tiges d'ancrage et rondelles,fr
451,anchor plates,platiness,fr
452,hurricane straps/ ties/ clips,connecteurs métalliques,fr
453,wire,fil de fer,fr
454,lashings,liens,fr
455,dowels/ pins,chevilles/goujons,fr
456,reinforcing bars,armatures,fr
457,other,autre,fr
458,Connection material (walls - roof),Connection entre Ossature Poteaux-poutres et toit (matériaux),fr
459,none,aucun,fr
460,concrete,béton,fr
461,steel,acier,fr
462,galvanized steel,acier galvanisé,fr
463,stainless steel,acier inoxydable,fr
464,timber,bois (débité),fr
465,polymer,polymère,fr
466,organic,matériau organique,fr
467,other,autre,fr
468,Stability measure - posts & beams framing,Mesures de stabilité - Ossature Poteaux-poutres,fr
469,none,aucune,fr
470,cross brace,palée en croix de St André,fr
471,V brace,palée en V,fr
472,angle brace,gousset/aisselier,fr
473,gusset plates,gousset (plaque),fr
474,other,autre,fr
475,Stability measure material,Mesures de stabilité (matériaux),fr
476,none,aucun,fr
477,reinforced concrete,béton armé,fr
478,steel,acier,fr
479,timber,bois (débité),fr
480,bamboo,bambou,fr
481,plywood,contreplaqué,fr
482,rope,corde,fr
483,wire,fil de fer,fr
484,metal cable,cable métallique,fr
485,other,autre,fr
486,Beams & Floor (ground floor),Poutres & Plancher (RDC),fr
487,Ground floor type,Type de plancher bas (rez-de-chaussée),fr
488,earth platform (elevated ground floor),plateforme en terre (plancher bas surélevé),fr
489,ground slab/ slab on grade,dallage sur terre-plein,fr
490,suspended timber ground floor,plancher en bois (suspendu),fr
491,suspended slab (reinforced concrete),dalle pleine (en béton armé),fr
492,beam and blocks/ beam fill floor (concrete joists and infill blocks),plancher poutrelles hourdis,fr
