id,original,translated,language_code
493,other types of suspended floor,autre type de plancher suspendu,fr
494,other,autre,fr
495,Ground floor material,Plancher bas (matériaux),fr
496,backfill compacted,remblai compacté,fr
497,debris,décombres,fr
498,granular fill (gravel),hérisson,fr
499,stone,pierres,fr
500,reinforced concrete,béton armé,fr
501,welded-wire mesh,treillis soudé,fr
502,concrete,béton,fr
503,concrete blocks & mortar,blocs de béton et mortier,fr
504,timber,bois (débité),fr
505,wood,bois (non débité),fr
506,steel,acier,fr
507,galvanized steel,acier galvanisé,fr
508,bamboo,bambou,fr
509,concrete joists,poutrelles en béton,fr
510,infill blocks/ blocks floor,hourdis,fr
511,arched bricks,voûtains,fr
512,granular fill,autre,fr
513,Height of ground floor above ground level (m),Hauteur du plancher bas par rapport au terrain (m),fr
514,Lenght of the beams/joists (m),Longueur des poutres/solives (m),fr
515,Section of the beams/joists (m x m),Section des poutres/solives (m x m),fr
516,Distance between beams/joists (m),Distance entre poutres/solives (m),fr
517,Thickness of decking/ concrete slab/ compression slab (m),Epaisseur du plancher/ dalle de béton/ dalle de compression (m),fr
518,Floor components,Composants du plancher bas,fr
519,concrete,béton,fr
520,reinforcing bars,armatures,fr
521,welded-wire mesh,treillis soudé,fr
522,steel,acier,fr
523,galvanized steel,acier galvanisé,fr
524,timber,bois (débité),fr
525,wood,bois (non débité),fr
526,plywood,contreplaqué,fr
527,bamboo,bambou,fr
528,infill blocks,hourdis,fr
529,arched bricks,voûtains (briques),fr
530,other,autre,fr
531,Connection between walls and ground floor,Connexion entre murs et plancher bas,fr
532,none,aucune,fr
533,nails,clous,fr
534,screws,vis,fr
535,lag screws/bolts,tirefonds,fr
536,bolts and nuts,boulons et écrous,fr
537,wire,fil de fer,fr
538,anchor plates,platines,fr
539,straps,connecteurs,fr
540,reinforcing bars,armatures,fr
541,lashings,liens,fr
542,dowels/ pins,chevilles/goujons,fr
543,other,autre,fr
544,Connection material (walls - ground floor),Connexion entre murs et plancher bas (matériaux),fr
545,none,aucun,fr
546,concrete,béton,fr
547,steel,acier,fr
548,galvanized steel,acier galvanisé,fr
549,stainless steel,acier inoxydable,fr
550,timber,bois (débité),fr
551,wood,bois (non débité),fr
552,polymer,polymère,fr
553,organic,matériau organique,fr
554,other,autre,fr
555,Stability measure - elevated ground floor,Mesures de stabilité - plancher bas surélevé,fr
556,none,aucune,fr
557,cross brace,palée en croix de St André,fr
558,angle brace,gousset/aisselier,fr
559,gusset plates,gousset (plaque),fr
560,other,autre,fr
561,Stability measure material,Mesures de stabilité (matériaux),fr
562,none,aucun,fr
563,reinforced concrete,béton armé,fr
564,steel,acier,fr
565,timber,bois (débité),fr
566,wood,bois (non débité),fr
567,plywood,contreplaqué,fr
568,bamboo,bambou,fr
569,other,autre,fr
570,Beams & Floor,Poutres & Plancher,fr
571,Floor type (second floor and others),Type de planchers (étages),fr
572,none,aucun,fr
573,suspended timber ground floor,plancher bois,fr
574,suspended slab (reinforced concrete),dalle en béton armé,fr
575,beam and blocks/ beam fill floor (concrete joists and infill blocks),poutrelles et hourdis,fr
576,other types of suspended floor,autre type de plancher suspendu,fr
577,other,autre,fr
578,Beams/ joists material,Poutres/solives (matériaux),fr
579,reinforced concrete,béton armé,fr
580,steel,acier,fr
581,galvanized steel,acier galvanisé,fr
582,timber,bois (débité),fr
583,wood,bois (non débité),fr
584,bamboo,bambou,fr
585,other,autre,fr
586,Lenght of the beams/joists (m),Longueur des poutres/solives (m),fr
587,Section of the beams/joists (m x m),Section des poutres/solives (m x m),fr
588,Distance between beams/joists (m),Distance entre poutres/solives (m),fr
589,Connection between walls and floor (if more than one storey),Connexion entre murs et plancher (si plus d'un étage),fr
590,none,aucune,fr
591,nails,clous,fr
592,screws,vis,fr
593,lag screws/bolts,tirefonds,fr
594,bolts and nuts,boulons et écrous,fr
595,wire,fil de fer,fr
596,anchor plates,platines,fr
597,straps,connecteurs,fr
598,ties,tirant,fr
599,reinforcing bars,armatures,fr
600,lashings,liens,fr
601,dowels/ pins,chevilles/goujons,fr
602,Connection material (walls - floor),Connexion entre murs et plancher (si plus d'un étage) (matériaux),fr
603,none,aucun,fr
604,concrete,béton,fr
605,steel,acier,fr
606,galvanized steel,acier galvanisé,fr
607,stainless steel,acier inoxydable,fr
608,timber,bois (débité),fr
609,wood,bois (non débité),fr
610,polymer,polymère,fr
611,organic,matériau organique,fr
612,other,autre,fr
613,Thickness of decking/ concrete slab/ compression slab (m),Epaisseur du plancher / de la dalle / de la dalle de compression (m),fr
614,Floor components,Composants du plancher,fr
615,concrete,béton,fr
616,reinforcing bars,armatures,fr
617,welded-wire mesh,treillis soudé,fr
618,steel,acier,fr
619,galvanized steel,acier galvanisé,fr
620,timber,bois (débité),fr
621,wood,bois (non débité),fr
622,plywood,contreplaqué,fr
623,bamboo,bambou,fr
624,infill blocks,hourdis,fr
625,arched bricks,voûtains (briques),fr
626,other,autre,fr
627,Comment,Commentaire,fr
628,Roof,Toiture,fr
629,Roof shape,Type de toiture,fr
630,"shed roof (single-pitch roof, pitch >3°)",toiture à un versant (pente >3°),fr
631,gable roof (pitched roof),toiture à deux versants,fr
632,hip-roof (hipped roof),toiture à quatre versants (toiture à croupe),fr
633,flat roof (pitch <3°),toiture terrasse (pente <3°),fr
634,dome,dôme,fr
635,rainbow roof (arched),comble bombé (comble en carène),fr
636,mansard roof,comble à la Mansard,fr
637,gambrel roof (roof with several slopes on the same side),comble retroussé,fr
638,Roof pitch (°),Pente du toit (°),fr
639,<3° (<5%),<3° (<5%),fr
640,3-9° (5-16 %),3-9° (5-16 %),fr
641,10-30° (17-60%),10-30° (17-60%),fr
642,30-45° (60-100%),30-45° (60-100%),fr
643,>45° (>100%),>45° (>100%),fr
644,Roof structure,Structure du toit,fr
645,gable end,pointe de pignon,fr
646,truss,fermes,fr
647,purlin,pannes,fr
648,rafter,chevrons,fr
649,roof decking,voligeage,fr
650,concrete slab,dalle de béton,fr
651,Roof structure material,Structure du toit (matériaux),fr
652,steel,acier,fr
653,galvanized steel,acier galvanisé,fr
654,timber,bois (débité),fr
655,wood,bois (non débité),fr
656,plywood,contreplaqué,fr
657,sheathing,revêtement (voligeage),fr
658,bamboo,bambou,fr
659,reinforced concrete,béton armé,fr
660,other,autre,fr
661,Distance between trusses/ gable end/ cross wall (m),Distance entre fermes/pignons/mur porteur intermédiaire (m),fr
662,Section of purlin (m x m),Section des pannes (m x m),fr
663,Distance between purlins (m),Distance entre pannes (m),fr
664,Section of rafter (m x m),Section des chevrons (m x m),fr
665,Distance between rafters (m),Distance entre chevrons (m),fr
666,Size of eaves (overhang) (m),Largeur de l'avant-toit/ forget (m),fr
667,Thickness of roof decking/ concrete slab (m),Epaisseur du voligeage / de la dalle de toiture (m),fr
668,Section of batten/ lath (m x m),Section des liteaux/lattes  (m x m),fr
669,Distance between  battens/ laths (m),Distance entre les liteaux/lattes (m),fr
905,oil,essence,fr
670,Connection between roof elements,Connection entre les éléments de toiture (type),fr
671,none,aucune,fr
672,nails,clous,fr
673,screws,vis,fr
674,lag screws/bolts,tirefonds,fr
675,bolts and nuts,boulons et écrous,fr
676,anchor plates,pattes d'ancrage,fr
677,hurricane straps,connecteurs métalliques,fr
678,gusset plates,goussets (plaque),fr
679,connectors/ nail plates,connecteurs (plaque),fr
680,lashings,liens,fr
681,dowels/ pins,chevilles/goujons,fr
682,Connection material (roof elements),Connection entre les éléments de toiture (matériaux),fr
683,none,aucune,fr
684,concrete,béton,fr
685,steel,acier,fr
686,galvanized steel,acier galvanisé,fr
687,stainless steel,acier inoxydable,fr
688,timber,bois (débité),fr
689,polymer,matériaux polymères,fr
690,organic,matériaux organiques,fr
691,other,autre,fr
692,Stability measure - roof,Mesures de stabilité - toiture,fr
693,none,aucune,fr
694,tie beam,entrait,fr
695,collar beam/ tie,faux entrait,fr
696,tie (between ridge beam and king post/ truss),lien (entre poinçon et panne faitière),fr
697,rafter brace,contreventement des chevrons,fr
698,gusset plates,goussets (plaque),fr
699,bracing,contreventement des pannes sablières,fr
700,other,autre,fr
701,Stability measure material,Mesures de stabilité (matériaux),fr
702,none,aucun,fr
703,concrete,béton,fr
704,steel,acier,fr
705,timber,bois (débité),fr
706,bamboo,bambou,fr
707,other,autre,fr
708,Comment,Commentaire,fr
709,Cladding,Bardage,fr
710,Facade cladding material,Bardage de façade (matériaux),fr
711,none,aucun,fr
712,brick,brique pleine,fr
713,hollow brick,brique creuse,fr
714,perforated brick,brique perforée,fr
715,adobe/ sun-dried brick,adobe (brique de terre crue séchée),fr
716,mud plaster,enduit de terre,fr
717,concrete block (solid),bloc plein (en béton),fr
718,hollow concrete block,bloc creux (en béton),fr
719,cement plaster,enduit de mortier de ciment,fr
720,wattle & daub,torchis,fr
721,timber,bois (débité),fr
722,wood,bois (non débité),fr
723,plywood,contreplaqué,fr
724,fiber cement board/ cement board,plaque de fibro-ciment,fr
725,bamboo,bambou,fr
726,metal sheeting,tôle métallique,fr
727,plastic sheeting (tarpaulin),bâche plastique),fr
728,canvas,toile,fr
729,textile,tissu,fr
730,woven mat (organic material),natte (matière organique),fr
731,thatch,chaume,fr
732,straw,paille,fr
733,corrugated galvanized iron (CGI) sheet,tôle ondulée galvanisée (CGI),fr
734,shingle,bardeaux bitumés,fr
735,wood shingle,bardeaux de bois,fr
736,other,autre,fr
737,Thickness of cladding material (mm),Epaisseur des matériaux de bardage  (mm),fr
738,Roof covering material,Couverture (matériaux),fr
739,corrugated galvanized iron (CGI) sheet,tôle ondulée galvanisée (CGI),fr
740,insulated metal roofing sheet,panneau métallique isolant,fr
741,corrugated bitumen roofing panel,tôle ondulée bitumée,fr
742,aluminium roofing sheet,tôle ondulée en aluminium,fr
743,plastic sheeting (tarpaulin),bâche plastique,fr
744,thatch,chaume,fr
745,leaves,feuilles,fr
746,straw,paille,fr
747,clay tiles,tuiles (argile cuite),fr
748,concrete tiles,tuiles en béton,fr
749,stone shingle,ardoises,fr
750,asphalt shingle,bardeaux bitumés,fr
751,wood shingle,bardeaux de bois,fr
752,asphalt,asphalte,fr
753,bamboo,bambou,fr
754,wood,bois (non débité),fr
755,plywood,contreplaqué,fr
756,GPR (fibreglass) panel,tôle ondulée en fibres de verre,fr
757,other,autre,fr
758,Thickness of roof covering (mm or gauge),Epaisseur des matériaux de couverture (mm ou gauge),fr
759,Floor Finish Material,Finition du plancher (matériaux),fr
760,none,aucun,fr
761,timber,bois (débité),fr
762,wood,bois (non débité),fr
763,cement plaster,enduit de ciment,fr
764,mud plaster,enduit de terre,fr
765,bamboo,bambou,fr
766,ceramic tiles,carrelage,fr
767,carpet,tapis/moquette,fr
768,plastic floor,revêtement de PVC,fr
769,organic material,matériau organique,fr
770,other,autre,fr
771,Openings,Ouvertures,fr
772,Number of doors,Nombre de portes,fr
773,Doors material,Portes (matériaux),fr
774,timber,bois (débité),fr
775,wood,bois (non débité),fr
776,plywood,contreplaqué,fr
777,bamboo,bambou,fr
778,plastic sheeting,bâche plastique,fr
779,mesh,grilllage fin,fr
780,insect screening mesh,moustiquaire,fr
781,fibreglass,fibre de verre,fr
782,leaves,feuilles (nattes),fr
783,other,autre,fr
784,Number of windows,Nombre de fenêtres,fr
785,Windows material,Fenêtres (matériaux),fr
786,timber,bois (débité),fr
787,wood,bois (non débité),fr
788,plywood,contreplaqué,fr
789,bamboo,bambou,fr
790,plastic sheeting,bâche plastique,fr
791,insect screening mesh,moustiquaire,fr
792,fibreglass,fibre de verre,fr
793,lattice,lattis,fr
794,other,autre,fr
795,Number of shutters,Nombre de volets,fr
796,Shutters material,Volets (matériaux),fr
797,metal,métal,fr
798,timber,bois (débité),fr
799,wood,bois (non débité),fr
800,plywood,contreplaqué,fr
801,bamboo,bambou,fr
802,other,autre,fr
803,Insulation,Isolation,fr
804,Insulation system,Système d'isolation,fr
805,none,aucun,fr
806,shading,ombrage,fr
807,insulation of the flooring,isolation thermique du plancher,fr
808,insulation on the walls,isolation thermique des murs,fr
809,insulation below the roof,isolation thermique sous la toiture,fr
810,other,autre,fr
811,Insulation material,Matériaux isolants,fr
812,none,aucun,fr
813,shade net,filet d'ombrage,fr
814,insulated corrugated roofing sheeting,panneau métallique isolant,fr
815,organic material,matériau organique,fr
816,other,autre,fr
817,Comment,"",fr
818,Skin,Enveloppe,fr
819,Comment,Commentaire,fr
820,Services,Services,fr
821,Water Supply location,Emplacement de la source d'approvisionnement en eau,fr
822,in shelter,dans le logement,fr
823,on plot,sur le terrain,fr
824,communal,communale,fr
825,other,autre,fr
826,Distance to the water supply,Distance jusqu'à la source d'approvisionnement en eau,fr
827,Water Supply Type,Type d'approvisionnement en eau,fr
828,piped water,eau courante,fr
829,tap/standpipe,borne-fontaine,fr
830,tubewell/ borehole,puits tubulaire,fr
831,protected dug well,puits creusé protégé,fr
832,protected spring,source protégée,fr
833,rainwater collection,collecte des eaux de pluie,fr
834,unprotected spring,source non-protégée,fr
835,unprotected dug well,puits creusé non-protégé,fr
836,cart with small tank/drum,charrette avec petit bidon/réservoir,fr
837,tanker truck,camion-citerne,fr
838,"surface water (from river, pond, lake)","eaux de surface (rivière, étang, lac)",fr
839,bottled water,eau en bouteille,fr
840,other,autre,fr
841,Sanitation location,Emplacement du moyen d'assainissement,fr
842,in shelter,dans le logement,fr
843,on plot,sur le terrain,fr
844,communal,communale,fr
845,other,autre,fr
846,Distance to the sanitation,Distance jusqu'au moyen d'assainissement,fr
847,Sanitation Type,Type d'assainissement,fr
848,flush toilet,toilettes à chasse d'eau,fr
849,pour flush toilet,toilettes à chasse d'eau manuelle,fr
850,piped sewer system,réseau d'égouts,fr
851,septic tank,fosse septique,fr
852,flush/pour flush to pit latrine,latrine à fosse à chasse d'eau,fr
853,ventilated improved pit latrine (VIP),latrine à fosse ventilée,fr
854,pit latrine with slab,latrine à fosse avec plaque,fr
855,composting toilet,toilettes compostées,fr
856,flush/pour flush to elsewhere,toilettes/latrine à chasse d'eau non raccordée,fr
857,pit latrine without slab,latrine à fosse sans plaque ou à ciel ouvert,fr
858,bucket,"latrine au ""seau""",fr
859,hanging toilet/ hanging latrine,toilettes/ latrine suspendues,fr
860,no facilities or bush or field,aucune installation sanitaire (champs/ nature),fr
861,other,autre,fr
862,Sewage system,Système de gestion des eaux usées,fr
863,none,aucun,fr
864,open sewer system,système d'égouts à ciel ouvert,fr
865,single pit,fosse simple,fr
866,septic system,fosse septique,fr
867,piped sewer system,réseau d'égouts,fr
868,trucking (gully emptier) to sewage plant,évacuation par camion de vidange vers une station d'épuration,fr
869,trucking (gully emptier) to open dumping,évacuation par camion de vidange vers lieu à ciel ouvert,fr
870,other,autre,fr
871,Drainage,Système de drainage et d'égouts,fr
872,none,aucun,fr
873,open drains,drains ouverts (égouts à ciel ouvert),fr
874,covered drains,drains couverts,fr
875,other,autre,fr
876,Waste treatment,Traitement des déchets,fr
877,burn on site,brûlés sur place,fr
878,dump on site,vidés sur place,fr
879,door-to-door collection,collecte porte-à-porte,fr
880,central collection,point de collecte central,fr
881,other,autre,fr
882,Bathroom location,Emplacement de la salle de bains,fr
883,in shelter,dans le logement,fr
884,on plot,sur le terrain,fr
885,communal,communale,fr
886,other,autre,fr
887,Distance to the bathroom,Distance jusqu'à la salle de bains,fr
888,Type of Bathroom,Type de salle de bains,fr
889,bucket shower,douche au seau,fr
890,container,récipient,fr
891,bathtub,baignoire,fr
892,shower,douche,fr
893,"river, pond, lake",rivière,fr
894,other,étang,fr
895,Heating system,Système de chauffage,fr
896,none,aucun,fr
897,stove,poêle/cuisinière,fr
898,electrical heater,chauffage électrique,fr
899,fireplace/hearth,cheminée,fr
900,central heating,chauffage central,fr
901,other,autre,fr
902,Energy Source for heating system,Source d'énergie pour le système de chauffage,fr
903,none,aucune,fr
904,gas,gaz,fr
906,electricity (grid),électricité (réseau),fr
907,electricity (battery),électricité (batterie),fr
908,wood,bois,fr
909,coal/charcoal,charbon,fr
910,biomass,biomasse,fr
911,wind,éolienne,fr
912,solar,solaire,fr
913,other,autre,fr
914,Cooling system,Système de refroidissement,fr
915,none,aucun,fr
916,natural ventilation,ventilation naturelle,fr
917,fan,ventilateur,fr
918,air conditioning,air conditionné,fr
919,Energy Source for cooling system,Source d'énergie pour le système de refroidissement,fr
920,none,aucun,fr
921,electricity (grid),électricité (réseau),fr
922,electricity (battery),électricité (batterie),fr
923,wind,éolienne,fr
924,solar,solaire,fr
925,other,autre,fr
926,Type of natural ventilation,Type de ventilation naturelle,fr
927,none,aucune,fr
928,foundation vent,prise d'air pour fondations,fr
929,outside-air intake - bottom part of the wall,prise d'air en partie basse des murs,fr
930,outside-air intake - above doors and windows,prise d'air au-dessus des portes des fenêtres,fr
931,roof vent,prise d'air dans les combles,fr
932,air vent between rooms,bouche d'air (entre pièces),fr
933,trickle vent in windows or doors,bouche avec déflecteur (portes et fenêtres),fr
934,vent pipe in roof,conduit de ventilation,fr
935,chimney,cheminée,fr
936,other,autre,fr
937,Number of ventilation openings,Nombre de bouches de ventilation,fr
938,Lighting,Eclairage,fr
939,none,aucun,fr
940,candles,bougies,fr
941,torch/flashlight (battery powered),torche/lampe de poche (batterie),fr
942,oil/kerosene lamp,lampe à huile/ kérosène,fr
943,electrical powered lamp,lampe alimentée par énergie électrique,fr
944,solar powered lamp,lampe solaire,fr
945,other,autre,fr
946,Energy Source (Appliances),Source d'énergie (appareils),fr
947,none,aucun,fr
948,gas,gaz,fr
949,electricity (grid),électricité (réseau),fr
950,electricity (battery),électricité (batterie),fr
951,wood,bois,fr
952,coal/charcoal,charbon,fr
953,biomass,biomasse,fr
954,wind,éolienne,fr
955,solar,solaire,fr
956,other,autre,fr
957,Kitchen location,Emplacement de la cuisine,fr
958,in shelter,dans le logement,fr
959,on plot,sur le terrain,fr
960,communal,communale,fr
961,other,autre,fr
962,Kitchen Type,Type de cuisine,fr
963,none,aucune,fr
964,open fire,feu,fr
965,portable stove,cuisinière portative,fr
966,stove,cuisinière,fr
967,other,autre,fr
968,Cooking Energy Source,Source d'énergie pour la cuisine,fr
969,wood,bois,fr
970,biomass,biomasse,fr
971,oil,essence/huile,fr
972,gas,gaz,fr
973,coal/charcoal,charbon,fr
974,kerosene,kérosène,fr
975,electricity,electricité,fr
976,solar,solaire,fr
977,other,autre,fr
978,Comment,Commentaire,fr
979,Spaceplan,Espace intérieur,fr
980,Partitions,Cloisons,fr
981,none,aucun,fr
982,walls,mur,fr
983,half walls,demi-mur,fr
984,screens,écran,fr
985,curtains,rideaux,fr
986,Partition structure material,Structure de la cloison (matériaux),fr
987,none,aucun,fr
988,bamboo,bambou,fr
989,timber,bois (débité),fr
990,wood,bois (non débité),fr
991,brick,briques,fr
992,concrete block,blocs (de béton),fr
993,block,blocs,fr
994,adobe/ sun-dried brick,briques de terre crue,fr
995,steel,acier,fr
996,plastic,plastique,fr
997,textile,textile,fr
998,other,autre,fr
999,Partition finish,Finition des cloisons,fr
1000,none,aucun,fr
1001,metal sheeting,tôle métallique,fr
1002,timber,bois (débité),fr
1003,wood,bois (non débité),fr
1004,plywood,contreplaqué,fr
1005,bamboo,bambou,fr
1006,cement plaster,enduit de ciment,fr
1007,mud plaster,enduit de terre,fr
1008,wallpaper,papier peint,fr
1009,paint,peinture,fr
1010,hand woven mat (organic material),natte tissée ou tressée (matériau organique),fr
1011,other,autre,fr
1012,Ceiling structure material,Structure du faux-plafond (matériaux),fr
1013,none,aucun,fr
1014,timber,bois (débité),fr
1015,wood,bois (non débité),fr
1016,plywood,contreplaqué,fr
1017,bamboo,bambou,fr
1018,other,autre,fr
1019,Ceiling Finish Material,Finition du faux-plafond,fr
1020,none,aucun,fr
1021,cement plaster,enduit de ciment,fr
1022,mud plaster,enduit de terre,fr
1023,wallpaper,papier peint,fr
1024,paint,peinture,fr
1025,organic material,matériau organique,fr
1026,other,autre,fr
1027,Possible extension of the shelter structure,Agrandissement possible de la structure de l'abri,fr
1028,implemented extention to the shelter (at survey date),Agrandissement réalisé de l'abri (lors de l'enquête),fr
1029,Comment,Commentaire,fr
1030,Documents,Documentation,fr
1031,Project narrative,Descriptif de projet,fr
1032,Technical description,Descriptif technique,fr
1033,(Priced) Bill of Quantity (BoQ),Devis Quantitatif Estimatif (DQE avec les prix),fr
1034,Design Drawings,Dessins d'exécution,fr
1035,Site plan,Plan de masse / plan de situation,fr
1036,Satellite picture,Photo satellite,fr
1037,Pictures/video of setting,Photos/ vidéo de l'implantation,fr
1038,Pictures/video of elevations,Photos/ vidéo des élévations (façades),fr
1039,Pictures/video of extensions,Photos/ vidéo des agrandissements,fr
1040,Pictures/video of details,Photos/ vidéo des détails,fr
1041,Pictures/video of living practices,Photos/ vidéo des pratiques de vie,fr
1042,Comment,Commentaires,fr
